This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:   163101
Number of nonzeros in inequality constraint Jacobian.:    35160
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    55874
                     variables with only lower bounds:    12874
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    44274
Total number of inequality constraints...............:    10052
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    10052

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  58  4.9902055e+02 9.57e-01 2.39e+05  -3.3 2.08e+00    -  4.01e-01 5.32e-02f  1
  59  4.8303311e+02 8.87e-01 2.00e+05  -2.5 4.47e+00    -  2.57e-01 1.38e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  4.7675152e+02 8.79e-01 1.54e+05  -2.4 2.66e+00    -  4.08e-01 6.68e-02f  1
  61  4.8455191e+02 9.61e-01 9.57e+03  -2.1 1.53e+00    -  5.14e-01 2.78e-01f  1
  62  5.2030642e+02 6.35e-01 7.39e+04  -2.0 7.80e-01    -  6.73e-01 8.31e-01f  1
  63  5.1421115e+02 4.58e-01 1.07e+05  -2.1 7.84e-01    -  8.43e-01 3.67e-01f  1
  64  4.9232488e+02 8.04e-01 1.96e+00  -2.1 2.39e-01    -  1.00e+00 1.00e+00f  1
  65  4.6095738e+02 2.09e-01 5.74e+04  -2.5 1.01e-01    -  1.00e+00 8.50e-01f  1
  66  4.5051032e+02 1.38e-01 1.37e+05  -2.7 2.36e-01    -  1.00e+00 3.47e-01f  1
  67  4.4204412e+02 1.28e-01 1.09e+05  -2.7 2.67e+00    -  5.21e-01 1.49e-01f  1
  68  4.3839474e+02 1.46e-01 7.90e+04  -2.3 1.11e+01    -  1.47e-01 6.71e-02f  1
  69  4.6090789e+02 3.82e-01 1.05e+05  -1.4 1.52e+01    -  9.04e-02 3.68e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  4.5806436e+02 3.68e-01 8.41e+04  -2.4 4.89e+00    -  1.48e-01 3.74e-02f  1
  71  4.4955698e+02 6.76e-01 6.68e+04  -2.4 1.18e+01    -  1.63e-01 7.86e-02f  1
  72  4.4356766e+02 8.73e-01 5.12e+04  -2.4 1.16e+01    -  1.74e-01 7.05e-02f  1
  73  4.3619851e+02 1.25e+00 4.32e+04  -2.4 6.49e+00    -  1.53e-01 1.50e-01f  1
  74  4.3242803e+02 1.11e+00 3.09e+04  -2.4 4.86e+00    -  3.82e-01 1.36e-01f  1
  75  4.2994821e+02 1.05e+00 3.14e+04  -2.3 3.39e+00    -  5.07e-01 6.00e-02f  1
  76  4.8442842e+02 8.39e-01 1.62e+05  -1.7 4.07e+00    -  1.53e-01 2.69e-01f  1
  77  4.7271369e+02 6.69e-01 1.35e+05  -2.2 3.65e+00    -  2.63e-01 1.91e-01f  1
  78  4.6537049e+02 1.40e+00 1.19e+05  -2.2 4.62e+00    -  4.03e-01 1.72e-01f  1
  79  4.5398168e+02 1.15e+00 1.03e+05  -2.2 2.78e+00    -  9.12e-01 2.48e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  4.4723961e+02 1.47e+00 8.33e+04  -2.2 2.35e+00    -  6.27e-01 1.97e-01f  1
  81  4.4711598e+02 4.77e-01 6.60e+03  -2.2 1.18e+00    -  1.00e+00 9.21e-01h  1
