This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    74701
Number of nonzeros in inequality constraint Jacobian.:    23032
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    25614
                     variables with only lower bounds:     5904
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    20304
Total number of inequality constraints...............:     6932
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     6932

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  73  1.2622309e+01 7.49e-04 8.60e-01  -3.5 8.85e-01    -  3.72e-01 3.51e-01f  1
  74  1.2482029e+01 1.04e-03 3.87e+00  -3.5 1.84e+00    -  3.69e-01 1.36e-01f  2
  75  1.2325629e+01 6.34e-04 6.25e+00  -3.5 1.95e+00    -  3.57e-01 1.19e-01f  2
  76  1.2239379e+01 7.55e-04 6.77e+00  -3.5 1.64e+00    -  4.05e-01 6.51e-02f  3
  77  1.2181853e+01 5.64e-04 8.81e+00  -3.5 4.08e-01    -  1.00e+00 1.79e-01f  3
  78  1.2091132e+01 4.85e-04 3.82e+00  -3.5 6.58e-01    -  8.04e-01 2.57e-01f  2
  79  1.4410832e+01 5.21e-03 4.60e+04  -3.0 1.04e+00    -  1.00e+00 3.83e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.5142129e+01 6.93e-04 2.17e+04  -3.2 4.12e-01    -  5.00e-01 8.18e-01H  1
  81  1.4666536e+01 5.07e-04 5.68e+03  -3.2 1.32e-01    -  7.56e-01 2.50e-01f  3
  82  1.4117641e+01 1.20e-03 1.47e+03  -3.2 2.22e-01    -  7.12e-01 1.00e+00f  1
  83  1.4120080e+01 9.39e-04 3.35e+00  -3.2 1.27e-01    -  1.00e+00 2.50e-01f  3
  84  1.4095180e+01 2.06e-04 4.42e-02  -3.2 6.72e-02    -  1.00e+00 1.00e+00h  1
  85  1.1302366e+01 3.01e-04 2.43e+03  -3.6 8.26e-02    -  9.99e-01 9.44e-01f  1
  86  1.0370145e+01 4.13e-04 6.04e+03  -4.0 1.50e-01    -  1.00e+00 6.22e-01f  1
  87  1.0137121e+01 4.08e-04 3.79e+03  -4.0 8.58e-02    -  9.60e-01 4.14e-01f  2
  88  9.8555609e+00 8.95e-05 1.36e-01  -4.0 1.76e-02    -  1.00e+00 1.00e+00h  1
  89  9.8203803e+00 5.10e-05 5.13e-02  -4.0 2.00e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  9.7889906e+00 5.43e-05 1.05e-01  -4.0 4.01e-02    -  1.00e+00 1.00e+00h  1
  91  9.8982549e+00 1.60e-04 3.78e+03  -3.7 2.97e-01    -  7.99e-01 3.28e-01f  1
