This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:   115261
Number of nonzeros in inequality constraint Jacobian.:    24856
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    39498
                     variables with only lower bounds:     9102
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    31302
Total number of inequality constraints...............:     7108
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     7108

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.1678466e+02 1.59e-03 6.66e+04  -3.7 6.20e-02    -  1.00e+00 3.30e-01f  1
  91  1.1363387e+02 1.06e-03 3.54e+04  -3.6 1.71e-01    -  1.00e+00 4.45e-01f  1
  92  1.1493848e+02 6.00e-04 3.20e+03  -3.1 3.24e-01    -  7.99e-01 4.15e-01F  1
  93  1.1480128e+02 4.60e-04 1.34e+03  -3.1 1.82e-01    -  6.55e-01 3.68e-01f  2
  94  1.1127711e+02 4.99e-04 1.61e+04  -3.6 7.29e-02    -  1.00e+00 6.63e-01f  1
  95  1.0911738e+02 1.65e-04 6.58e+03  -3.8 2.67e-02    -  1.00e+00 7.44e-01f  1
  96  1.0821099e+02 5.57e-05 3.46e+03  -4.0 2.91e-02    -  1.00e+00 6.91e-01f  1
  97  1.0874271e+02 5.82e-04 1.53e+03  -3.7 2.25e-01    -  7.81e-01 5.18e-01f  1
  98  1.0847954e+02 1.41e-03 9.15e+02  -3.8 3.97e-01    -  4.21e-01 4.31e-01f  1
  99  1.0834510e+02 1.61e-03 2.48e+02  -3.8 1.02e+00    -  3.79e-01 2.04e-01F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.0824879e+02 1.71e-03 6.67e+01  -3.8 4.71e-01    -  3.30e-01 2.61e-01f  2
 101  1.0794999e+02 8.36e-04 4.60e+02  -3.8 9.15e-02    -  9.42e-01 5.09e-01f  1
 102  1.0926314e+02 1.97e-03 2.98e+03  -3.6 1.26e-01    -  7.60e-01 1.00e+00f  1
 103  1.0837845e+02 1.13e-03 1.26e+02  -3.7 1.57e-01    -  7.54e-01 8.92e-01f  1
 104  1.0829071e+02 9.92e-04 4.11e+02  -3.7 4.74e-01    -  8.18e-01 1.73e-01f  3
 105  1.0820442e+02 7.26e-04 2.78e+02  -3.7 1.92e-01    -  1.00e+00 5.00e-01h  2
 106  1.1187397e+02 6.03e-03 4.36e+03  -3.2 6.40e-01    -  6.52e-01 7.47e-01f  1
 107  1.1163897e+02 6.10e-03 5.60e+03  -3.4 2.81e+00    -  2.46e-01 5.38e-02f  1
 108  1.1138707e+02 6.12e-03 5.60e+03  -3.4 2.36e+00    -  3.05e-01 1.54e-01f  2
 109  1.1192165e+02 5.44e-04 9.72e+02  -3.4 4.37e-01    -  6.59e-01 9.59e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.1032993e+02 6.12e-03 5.25e+02  -3.4 2.30e-01    -  6.15e-01 1.00e+00f  1
 111  1.0995215e+02 2.17e-03 2.26e-01  -3.4 1.15e-01    -  1.00e+00 1.00e+00f  1
