This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    30501
Number of nonzeros in inequality constraint Jacobian.:     6600
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    10484
                     variables with only lower bounds:     2419
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     8319
Total number of inequality constraints...............:     1892
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1892

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  2.1377664e+02 1.51e-03 6.93e+03  -3.8 2.33e-01    -  1.00e+00 4.97e-01f  1
  81  2.1458020e+02 2.74e-03 2.92e+04  -3.2 4.56e-01    -  1.00e+00 2.88e-01f  1
  82  2.1496486e+02 7.50e-05 7.20e+03  -3.5 8.82e-02    -  7.46e-01 1.00e+00H  1
  83  2.1358831e+02 4.14e-03 3.14e-01  -3.6 8.31e-02    -  1.00e+00 1.00e+00f  1
  84  2.1302738e+02 1.86e-03 4.73e-01  -4.0 7.77e-02    -  1.00e+00 1.00e+00f  1
  85  2.1290473e+02 1.08e-03 1.72e+00  -4.0 6.10e-02    -  1.00e+00 5.00e-01f  2
  86  2.1295137e+02 1.09e-03 4.04e+03  -3.7 9.41e-02    -  1.00e+00 5.00e-01f  2
  87  2.1278241e+02 2.05e-04 2.31e-01  -4.0 1.91e-02    -  1.00e+00 1.00e+00h  1
  88  2.1268348e+02 1.92e-04 6.74e-02  -4.0 9.84e-03    -  1.00e+00 1.00e+00f  1
  89  2.1265658e+02 1.79e-05 5.35e-02  -4.0 1.26e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  2.1443478e+02 1.67e-03 8.32e+04  -2.7 8.19e-01    -  5.65e-01 1.74e-01f  1
  91  2.1445329e+02 1.47e-03 5.93e+04  -3.2 1.35e+00    -  3.27e-01 5.75e-02f  3
  92  2.1446117e+02 1.54e-03 4.56e+04  -3.2 6.77e-01    -  2.69e-01 8.06e-02f  3
  93  2.1448346e+02 1.56e-03 2.04e+04  -3.2 3.79e-01    -  6.35e-01 2.87e-01f  1
  94  2.1417222e+02 2.09e-03 1.89e+04  -3.2 1.17e+00    -  7.45e-02 7.60e-02f  2
  95  2.1387486e+02 1.84e-03 1.36e+04  -3.2 1.21e+00    -  3.98e-01 8.77e-02f  1
  96  2.1381632e+02 1.56e-03 1.06e+04  -3.2 9.13e-01    -  3.55e-01 6.99e-02f  3
  97  2.1368390e+02 1.16e-03 3.46e+03  -3.2 2.29e-01    -  1.00e+00 4.28e-01f  2
  98  2.1359150e+02 1.51e-03 2.69e+03  -3.2 2.31e-01    -  2.89e-01 2.20e-01f  3
  99  2.1361216e+02 6.61e-04 5.66e+02  -3.2 9.35e-02    -  5.53e-01 7.90e-01F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  2.1362190e+02 2.06e-03 2.83e+02  -3.2 1.09e-01    -  6.83e-01 5.00e-01f  2
 101  2.1359056e+02 4.00e-03 6.40e-01  -3.2 1.28e-01    -  1.00e+00 1.00e+00f  1
 102  2.1403666e+02 1.25e-04 8.55e-01  -3.2 7.64e-02    -  1.00e+00 1.00e+00H  1
 103  2.1388728e+02 1.59e-03 1.08e+00  -3.2 6.19e-02    -  6.52e-01 8.28e-01F  1
 104  2.1324724e+02 1.43e-03 1.91e+00  -3.2 6.63e-02    -  1.00e+00 7.61e-01f  1
 105  2.1322949e+02 9.06e-04 1.35e+00  -3.2 4.83e-02    -  1.00e+00 5.00e-01f  2
 106  2.1319839e+02 2.42e-04 1.27e-01  -3.2 1.41e-02    -  1.00e+00 1.00e+00h  1
 107  2.1315571e+02 2.53e-04 2.05e-01  -3.2 2.75e-02    -  1.00e+00 1.00e+00h  1
 108  2.1326167e+02 4.97e-06 2.29e-01  -3.2 1.74e-02    -  1.00e+00 1.00e+00H  1
 109  2.1126973e+02 2.00e-04 1.01e+04  -4.0 1.40e-02    -  1.00e+00 7.95e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  2.1074959e+02 2.37e-05 9.03e-02  -4.0 1.01e-02    -  1.00e+00 1.00e+00f  1
 111  2.1073058e+02 1.03e-04 4.51e-01  -4.0 2.89e-02    -  1.00e+00 9.06e-01h  1
 112  2.1068065e+02 2.92e-04 1.23e+00  -4.0 1.32e-01    -  1.00e+00 5.00e-01f  2
 113  2.1233321e+02 5.05e-03 6.81e+04  -2.8 1.57e+00    -  6.31e-01 1.58e-01f  1
 114  2.1346638e+02 2.86e-03 2.47e+04  -3.4 3.37e-01    -  6.24e-01 7.11e-01H  1
 115  2.1279824e+02 3.61e-03 1.89e+04  -3.4 2.45e-01    -  2.32e-01 2.36e-01f  3
 116  2.1251037e+02 5.31e-03 1.99e+03  -3.4 2.66e-01    -  9.45e-01 5.64e-01f  1
 117  2.1256655e+02 3.69e-03 1.20e+03  -3.4 2.36e-01    -  4.71e-01 3.36e-01h  1
 118  2.1223447e+02 1.34e-03 2.65e-01  -3.4 5.30e-02    -  1.00e+00 1.00e+00f  1
 119  2.1210844e+02 9.21e-04 4.07e+00  -3.4 1.03e-01    -  1.00e+00 2.50e-01f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  2.1210169e+02 2.56e-04 2.09e-01  -3.4 1.31e-02    -  1.00e+00 1.00e+00h  1
 121  2.1206194e+02 1.41e-04 9.88e-02  -3.4 1.74e-02    -  1.00e+00 1.00e+00h  1
 122  2.1207071e+02 6.91e-05 1.15e-01  -3.4 9.57e-03    -  1.00e+00 1.00e+00h  1
 123  2.1204121e+02 2.59e-05 5.52e-02  -3.4 6.25e-03    -  1.00e+00 1.00e+00h  1
 124  2.1091432e+02 7.49e-06 1.04e+04  -4.0 9.31e-03    -  1.00e+00 6.93e-01f  1
 125  2.1071237e+02 4.98e-04 2.98e+03  -3.9 1.20e-01    -  1.00e+00 5.42e-01f  1
 126  2.1066425e+02 4.00e-04 3.32e+03  -3.9 6.28e-01    -  6.49e-01 1.08e-01f  2
 127  2.1190911e+02 3.31e-03 6.68e+03  -3.3 3.15e-01    -  8.24e-01 5.92e-01f  1
 128  2.1221885e+02 2.52e-03 4.11e+02  -3.5 3.58e-01    -  6.35e-01 2.52e-01H  1
 129  2.1181464e+02 6.91e-05 3.22e+03  -3.5 1.57e-01    -  2.61e-01 1.00e+00F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  2.1137079e+02 1.37e-03 1.08e+03  -3.5 1.36e-01    -  6.65e-01 4.29e-01f  2
 131  2.1124768e+02 1.02e-03 2.67e+00  -3.5 7.25e-02    -  1.00e+00 2.50e-01f  3
 132  2.1114649e+02 7.20e-04 2.02e-01  -3.5 6.97e-02    -  1.00e+00 1.00e+00h  1
 133  2.1115585e+02 6.34e-04 3.64e+00  -3.5 1.25e-01    -  8.73e-01 1.21e-01h  4
 134  2.1112349e+02 6.20e-05 2.39e-01  -3.5 1.37e-02    -  1.00e+00 1.00e+00h  1
 135  2.1110890e+02 3.59e-05 5.90e-02  -3.5 1.20e-02    -  1.00e+00 1.00e+00h  1
 136  2.1109384e+02 3.46e-05 2.18e-01  -3.5 2.14e-02    -  1.00e+00 1.00e+00h  1
 137  2.1105135e+02 8.89e-05 5.68e-01  -3.5 1.94e-01    -  2.08e-01 2.02e-01f  1
 138  2.1100806e+02 5.46e-04 1.25e+00  -3.5 1.92e+00    -  6.21e-02 4.55e-02f  3
 139  2.1099966e+02 4.78e-04 1.92e+00  -3.5 2.23e+00    -  1.28e-01 4.41e-02f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  2.1095711e+02 5.15e-04 6.22e+00  -3.5 7.00e-01    -  1.00e+00 9.54e-02f  3
 141  2.1093376e+02 5.01e-04 7.10e+00  -3.5 1.15e+00    -  4.18e-01 3.49e-02f  4
 142  2.1087033e+02 4.61e-04 8.11e+00  -3.5 1.28e+00    -  6.97e-01 9.19e-02f  3
 143  2.1084128e+02 4.67e-04 6.92e+00  -3.5 9.15e-01    -  3.68e-01 5.20e-02f  4
 144  2.1080468e+02 5.26e-04 5.65e+00  -3.5 3.97e-01    -  2.31e-01 8.75e-02f  4
 145  2.1074960e+02 7.88e-04 3.02e+00  -3.5 2.45e-01    -  1.00e+00 5.69e-01F  1
 146  2.1064416e+02 1.37e-03 4.12e+00  -3.5 8.22e-01    -  3.23e-01 1.99e-01f  2
 147  2.1221460e+02 5.29e-03 2.41e+04  -2.9 1.87e+00    -  3.61e-01 1.24e-01f  1
 148  2.1189093e+02 4.71e-03 1.49e+04  -3.4 1.61e-01    -  3.59e-01 1.11e-01f  1
 149  2.1163826e+02 7.53e-03 1.03e+04  -3.4 3.22e-01    -  3.25e-01 4.28e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  2.1089065e+02 2.27e-03 6.86e+03  -3.4 2.72e-02    -  3.69e-01 7.17e-01f  1
 151  2.1081998e+02 1.33e-04 5.30e-02  -3.4 7.15e-03    -  1.00e+00 1.00e+00f  1
 152  2.1080606e+02 2.04e-05 7.36e-02  -3.4 8.68e-03    -  1.00e+00 1.00e+00h  1
 153  2.1231147e+02 1.37e-04 2.63e-01  -3.1 5.10e-02    -  1.00e+00 1.00e+00f  1
 154  2.1184762e+02 4.28e-04 1.02e+03  -3.2 1.13e-01    -  7.44e-01 6.74e-01f  1
 155  2.1172758e+02 3.25e-04 2.35e+03  -3.2 4.92e-02    -  1.00e+00 5.00e-01f  2
 156  2.1154568e+02 1.29e-04 2.30e-01  -3.2 3.55e-02    -  1.00e+00 1.00e+00h  1
 157  2.1157458e+02 1.25e-04 1.73e-01  -3.2 2.39e-02    -  1.00e+00 1.00e+00h  1
 158  2.1151225e+02 8.91e-05 1.43e-01  -3.2 1.32e-02    -  1.00e+00 1.00e+00h  1
 159  2.1149093e+02 3.32e-05 1.92e-01  -3.2 3.20e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  2.1147971e+02 3.83e-04 1.25e+00  -3.2 7.43e-01    -  2.39e-01 1.68e-01f  1
 161  2.1145149e+02 3.41e-04 7.10e+00  -3.2 5.17e-01    -  6.06e-01 1.76e-01f  2
 162  2.1137400e+02 1.02e-03 7.94e+00  -3.2 6.80e-01    -  5.57e-01 2.49e-01f  1
 163  2.1134568e+02 8.25e-04 6.06e+00  -3.2 7.20e-01    -  2.94e-01 2.37e-01f  2
 164  2.1130277e+02 7.52e-04 4.49e+00  -3.2 4.68e-01    -  1.00e+00 1.25e-01f  4
 165  2.1122259e+02 3.79e-04 6.58e+00  -3.2 1.17e-01    -  1.00e+00 5.00e-01f  2
 166  2.1114566e+02 1.97e-04 3.15e+00  -3.2 1.81e-01    -  1.00e+00 5.00e-01f  2
 167  2.1109799e+02 2.52e-04 2.77e+00  -3.2 2.15e-01    -  1.00e+00 5.00e-01f  2
 168  2.1107691e+02 1.96e-04 3.04e+00  -3.2 1.95e-01    -  1.00e+00 2.03e-01h  3
 169  2.1108608e+02 2.35e-06 3.18e-01  -3.2 8.35e-02    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  2.0996345e+02 6.38e-04 3.29e+03  -3.5 1.77e-01    -  1.00e+00 8.81e-01f  1
 171  2.0960672e+02 8.40e-04 1.92e-01  -3.6 8.30e-02    -  1.00e+00 1.00e+00f  1
 172  2.0903014e+02 2.44e-04 7.00e+03  -4.0 2.04e-02    -  1.00e+00 6.08e-01f  1
 173  2.0870251e+02 1.01e-04 8.42e+02  -4.0 4.88e-02    -  1.00e+00 8.80e-01f  1
 174  2.0866801e+02 1.29e-06 1.89e-01  -4.0 6.83e-02    -  1.00e+00 1.00e+00H  1
 175  2.0892132e+02 7.37e-04 4.01e+03  -3.7 4.35e-01    -  1.00e+00 5.00e-01f  2
 176  2.0889492e+02 6.62e-04 4.37e+02  -3.9 7.42e-01    -  6.61e-01 1.43e-01f  3
 177  2.0883093e+02 5.81e-04 1.30e+03  -3.9 2.88e-01    -  1.00e+00 1.48e-01f  3
 178  2.0873102e+02 4.71e-04 6.49e+02  -3.9 1.99e-01    -  1.00e+00 5.00e-01h  2
 179  2.0870316e+02 4.63e-04 5.78e+02  -3.9 5.33e-01    -  1.00e+00 1.10e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  2.0868997e+02 3.85e-04 4.33e+02  -3.9 2.77e-01    -  1.00e+00 2.50e-01h  3
 181  2.0890049e+02 5.17e-06 3.35e-01  -3.9 1.22e-01    -  1.00e+00 1.00e+00H  1
 182  2.0876966e+02 2.78e-04 2.41e+00  -3.9 4.30e-01    -  1.00e+00 2.48e-01f  3
 183  2.0863659e+02 3.20e-04 2.18e+00  -3.9 2.31e-01    -  8.32e-01 3.07e-01f  1
