This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    20101
Number of nonzeros in inequality constraint Jacobian.:     4360
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6924
                     variables with only lower bounds:     1599
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5499
Total number of inequality constraints...............:     1252
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1252

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  63  1.3803132e+02 6.95e-04 1.31e+01  -3.6 3.76e-02    -  1.00e+00 7.75e-01f  1
  64  1.3724528e+02 1.55e-04 1.60e+03  -4.0 1.60e-02    -  1.00e+00 9.07e-01f  1
  65  1.3714183e+02 8.96e-05 1.07e-01  -4.0 1.79e-02    -  1.00e+00 1.00e+00h  1
  66  1.3711643e+02 5.21e-05 1.65e-01  -4.0 1.76e-02    -  1.00e+00 1.00e+00h  1
  67  1.3710082e+02 5.60e-05 8.71e-01  -4.0 4.05e-02    -  1.00e+00 2.50e-01h  3
  68  1.3706340e+02 6.40e-05 8.34e-02  -4.0 1.64e-02    -  1.00e+00 1.00e+00h  1
  69  1.3721051e+02 8.35e-04 4.83e+03  -3.7 2.55e-01    -  1.00e+00 4.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.3719056e+02 8.32e-04 1.59e+03  -3.9 3.88e-01    -  5.43e-01 1.03e-01h  2
  71  1.3712715e+02 9.46e-04 9.97e+01  -3.9 6.77e-02    -  8.13e-01 6.57e-01f  1
  72  1.3707110e+02 4.90e-04 3.03e+02  -3.9 2.42e-02    -  2.43e-02 5.00e-01f  2
  73  1.3694104e+02 2.01e-04 4.69e+02  -3.9 5.75e-02    -  9.41e-02 1.00e+00h  1
  74  1.3746306e+02 2.13e-04 2.56e-01  -3.7 7.82e-02    -  1.00e+00 1.00e+00f  1
  75  1.3718182e+02 3.59e-04 2.43e-01  -3.8 3.12e-02    -  1.00e+00 1.00e+00f  1
  76  1.3725495e+02 1.41e-06 4.90e-01  -3.8 7.86e-02    -  1.00e+00 1.00e+00H  1
  77  1.3689636e+02 6.33e-04 7.28e-01  -4.0 4.92e-02    -  1.00e+00 1.00e+00f  1
  78  1.3736218e+02 1.35e-03 5.12e-01  -3.7 1.27e-01    -  1.00e+00 1.00e+00f  1
  79  1.3717405e+02 7.49e-04 3.45e-01  -3.8 5.03e-02    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.3689007e+02 5.48e-04 1.86e-01  -3.8 4.60e-02    -  1.00e+00 1.00e+00f  1
  81  1.3665767e+02 9.57e-05 2.52e-01  -4.0 3.16e-02    -  1.00e+00 1.00e+00h  1
  82  1.3667371e+02 1.57e-06 1.03e+00  -4.0 1.04e-01    -  1.00e+00 1.00e+00H  1
  83  1.3662380e+02 4.10e-04 1.79e+00  -4.0 3.87e-01    -  1.00e+00 2.50e-01f  3
  84  1.3731650e+02 1.94e-03 1.47e+03  -3.4 7.36e-01    -  3.16e-01 2.60e-01f  2
