This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    19061
Number of nonzeros in inequality constraint Jacobian.:     9464
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6568
                     variables with only lower bounds:     1517
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5217
Total number of inequality constraints...............:     1796
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1796

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  74  4.2491072e+02 6.35e-04 7.85e+00  -1.8 2.13e-01    -  4.07e-01 4.20e-01H  1
  75  4.1189028e+02 6.22e-04 2.37e+00  -1.8 1.45e-01    -  9.66e-01 1.00e+00f  1
  76  4.4793318e+02 3.77e-04 1.43e+05  -1.5 9.84e-02    -  7.67e-01 6.66e-01f  1
  77  4.2594631e+02 1.62e-04 8.07e-01  -1.6 5.10e-02    -  1.00e+00 1.00e+00f  1
  78  4.0190205e+02 8.82e-05 6.40e+05  -2.1 5.77e-02    -  1.00e+00 5.51e-01f  1
  79  4.0838286e+02 5.63e-05 2.49e+05  -1.7 6.50e-02    -  1.00e+00 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  3.8489036e+02 7.38e-05 3.01e+00  -2.0 5.57e-02    -  1.00e+00 1.00e+00f  1
  81  3.7991025e+02 1.45e-04 6.56e+04  -2.1 3.75e-01    -  7.70e-01 4.37e-01f  2
  82  3.7838931e+02 2.47e-04 1.62e+04  -2.0 1.53e-01    -  9.12e-01 3.30e-01f  2
  83  4.1597424e+02 6.14e-04 1.84e+05  -1.8 1.25e-01    -  7.57e-01 1.00e+00f  1
  84  4.0436946e+02 3.93e-04 1.17e+05  -1.9 8.27e-02    -  4.21e-01 3.96e-01f  1
  85  3.8582519e+02 3.50e-04 4.15e+04  -1.9 7.64e-02    -  6.80e-01 1.00e+00f  1
  86  3.8525513e+02 1.74e-04 6.09e+00  -1.9 2.40e-02    -  1.00e+00 4.92e-01f  2
  87  3.8688480e+02 2.82e-05 6.17e-01  -1.9 1.89e-02    -  1.00e+00 1.00e+00f  1
  88  3.6887116e+02 1.19e-04 8.84e+04  -2.2 5.66e-02    -  1.00e+00 8.58e-01f  1
  89  3.8629331e+02 2.25e-04 7.98e+04  -1.9 8.83e-02    -  1.00e+00 8.48e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  3.8186918e+02 1.21e-04 5.15e+04  -2.0 7.66e-02    -  4.57e-01 5.00e-01f  2
