This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:    12536
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     2372
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     2372

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 152  7.7561892e+01 4.58e-04 8.06e+04  -4.0 2.27e-01    -  5.06e-01 2.54e-01f  1
 153  7.7085105e+01 3.71e-03 7.27e+04  -3.8 1.67e+00    -  3.02e-01 1.17e-01f  1
 154  8.0005173e+01 5.22e-03 1.31e+05  -2.2 6.26e+00    -  3.45e-01 2.80e-02f  1
 155  7.9981726e+01 6.18e-03 8.74e+04  -2.9 7.49e-01    -  3.71e-01 1.67e-01f  2
 156  7.9721405e+01 6.16e-03 7.98e+04  -2.9 1.07e+00    -  1.12e-01 5.60e-03f  1
 157  7.8438154e+01 5.80e-03 7.40e+04  -2.9 1.72e+00    -  7.92e-02 5.53e-02f  1
 158  7.6954200e+01 5.21e-03 6.88e+04  -2.9 4.18e-01    -  5.95e-02 1.00e-01f  1
 159  7.8762639e+01 4.78e-03 7.49e+04  -2.5 8.69e-01    -  1.91e-01 1.05e-01f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  7.7308314e+01 4.11e-03 6.69e+04  -2.9 4.11e-01    -  1.09e-01 1.96e-01f  1
 161  7.6604057e+01 4.08e-03 6.34e+04  -2.9 6.66e-01    -  5.18e-02 4.85e-02f  3
 162  7.6632010e+01 3.98e-03 2.76e+05  -2.3 3.58e-01    -  6.90e-01 2.49e-02f  1
 163  8.1639630e+01 3.92e-04 6.94e+04  -2.6 2.48e-02    -  5.41e-01 1.00e+00f  1
 164  8.0262416e+01 3.16e-05 1.60e+00  -2.6 2.76e-02    -  1.00e+00 1.00e+00f  1
 165  7.8583330e+01 4.49e-03 1.74e+04  -4.0 3.49e-01    -  3.22e-01 3.96e-01f  1
 166  7.7513282e+01 3.38e-03 9.09e+03  -2.9 7.40e-01    -  3.06e-01 1.84e-01f  1
 167  7.6783874e+01 4.79e-03 8.09e+03  -2.9 6.10e+00    -  5.56e-02 3.08e-02f  1
