This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    46101
Number of nonzeros in inequality constraint Jacobian.:    14232
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    15824
                     variables with only lower bounds:     3649
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    12549
Total number of inequality constraints...............:     4292
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     4292

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  62  1.9781314e+03 2.05e-03 8.45e+05  -1.4 1.99e-01    -  9.74e-01 4.85e-01f  1
  63  1.9045699e+03 1.52e-03 1.77e+06  -1.9 4.86e-01    -  1.00e+00 4.76e-01f  1
  64  1.9063632e+03 2.69e-03 5.52e+03  -1.3 1.41e+00    -  6.14e-01 1.81e-01f  2
  65  1.8847697e+03 6.02e-03 1.28e+05  -1.6 8.19e-01    -  6.48e-01 4.25e-01f  1
  66  1.9072572e+03 4.71e-03 5.29e+05  -1.3 5.72e-01    -  4.86e-01 2.43e-01f  1
  67  1.8799490e+03 1.70e-03 1.43e+05  -1.5 3.55e-02    -  7.07e-01 6.80e-01f  1
  68  1.8752887e+03 2.03e-03 1.31e+04  -1.5 5.01e-02    -  7.71e-01 1.00e+00f  1
  69  1.8563173e+03 9.57e-04 2.93e+05  -1.6 1.27e-01    -  1.00e+00 5.46e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.8276451e+03 2.58e-03 3.14e+05  -1.6 6.57e-01    -  1.00e+00 5.71e-01f  1
  71  1.8516833e+03 9.48e-03 1.07e+05  -1.3 2.18e+00    -  5.38e-01 4.02e-01f  1
  72  1.8380244e+03 9.26e-03 4.83e+04  -1.6 4.28e+00    -  3.76e-01 1.97e-01f  1
  73  1.8291042e+03 9.37e-03 6.27e+04  -1.6 4.26e+00    -  1.87e-01 1.41e-01f  2
  74  1.8337397e+03 8.88e-03 2.87e+04  -1.6 2.18e+00    -  2.01e-01 3.79e-01H  1
  75  1.8098907e+03 7.96e-03 1.05e+04  -1.6 1.95e+00    -  3.56e-01 2.50e-01f  1
  76  1.8721024e+03 1.22e-02 1.95e+05  -1.2 9.50e-01    -  3.06e-01 2.52e-01f  1
  77  1.8027463e+03 1.02e-02 3.08e+05  -1.5 1.32e-01    -  6.60e-01 1.00e+00f  1
  78  1.7721856e+03 6.42e-03 1.38e+06  -2.0 3.64e-01    -  1.00e+00 3.76e-01f  1
  79  1.7694502e+03 5.04e-03 4.53e+04  -1.6 1.71e+00    -  8.50e-01 4.70e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.8502426e+03 1.05e-02 7.98e+05  -1.0 8.23e+00    -  2.40e-01 1.43e-01f  1
  81  1.8357059e+03 1.14e-02 3.36e+05  -1.5 4.11e+00    -  4.34e-01 1.77e-01f  1
  82  1.8181697e+03 1.02e-02 2.58e+05  -1.5 3.11e+00    -  1.62e-01 1.01e-01f  1
  83  1.8012770e+03 8.36e-03 2.56e+05  -1.5 7.62e-01    -  2.05e-01 3.58e-01f  1
  84  1.7990304e+03 8.06e-03 1.10e+04  -1.5 9.16e-01    -  5.38e-01 3.60e-02f  1
  85  1.7845591e+03 5.43e-03 2.27e+04  -1.5 2.15e-01    -  6.29e-01 5.00e-01f  1
  86  1.7771855e+03 1.45e-03 2.20e+00  -1.5 2.15e-01    -  1.00e+00 1.00e+00f  1
  87  1.7347397e+03 8.01e-04 7.66e+05  -1.8 4.39e-01    -  9.99e-01 5.73e-01f  1
  88  1.8078920e+03 5.19e-03 6.02e+05  -1.4 4.60e-01    -  6.10e-01 7.57e-01f  1
  89  1.7768650e+03 2.07e-03 3.13e+05  -1.5 4.38e-01    -  4.25e-01 4.58e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.7607334e+03 1.95e-03 7.42e+04  -1.5 2.90e-01    -  3.59e-01 5.92e-01H  1
  91  1.7467424e+03 1.47e-03 8.43e+04  -1.5 1.14e-01    -  8.21e-01 5.01e-01f  1
  92  1.7409397e+03 6.11e-04 1.89e+04  -1.5 1.94e-01    -  1.00e+00 8.29e-01f  1
  93  1.7379507e+03 9.38e-04 1.34e+04  -1.5 5.83e-01    -  8.79e-01 3.23e-01f  1
  94  1.6871876e+03 9.22e-04 1.43e+05  -4.0 5.53e-01    -  4.37e-01 3.90e-01f  1
  95  1.7446249e+03 7.09e-03 1.64e+05  -1.5 4.16e-01    -  8.90e-01 1.00e+00f  1
  96  1.7333805e+03 5.24e-03 3.22e+05  -1.6 5.00e-01    -  5.86e-01 2.16e-01f  1
  97  1.7102867e+03 2.30e-03 8.36e+04  -1.6 1.90e-01    -  4.24e-01 6.13e-01f  1
  98  1.6995930e+03 7.26e-04 1.58e+04  -1.6 1.91e-01    -  7.18e-01 7.55e-01f  1
  99  1.8166838e+03 1.45e-02 1.18e+05  -1.4 5.42e-01    -  9.40e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.7740527e+03 5.06e-03 3.91e+05  -1.5 6.06e-01    -  1.00e+00 5.72e-01f  1
 101  1.7590965e+03 4.24e-03 3.10e+05  -1.5 6.01e-01    -  2.51e-01 2.07e-01f  1
 102  1.7437196e+03 1.76e-03 1.12e+05  -1.5 7.87e-02    -  7.98e-01 6.38e-01f  1
 103  1.7386617e+03 1.97e-04 1.19e+00  -1.5 7.46e-02    -  1.00e+00 1.00e+00f  1
 104  1.6779507e+03 3.59e-04 1.13e+06  -2.0 1.33e-01    -  9.94e-01 5.44e-01f  1
 105  1.6633510e+03 2.98e-04 3.78e+05  -1.8 3.30e-01    -  9.45e-01 3.63e-01f  1
 106  1.6679655e+03 8.97e-04 3.68e+05  -1.5 1.41e+00    -  5.23e-01 9.95e-02f  1
 107  1.6650548e+03 9.90e-04 1.82e+05  -1.7 7.91e-01    -  3.87e-01 2.27e-01f  2
 108  1.6574245e+03 3.75e-03 1.23e+05  -1.7 9.43e-01    -  3.78e-01 4.22e-01f  1
 109  1.6609797e+03 3.58e-03 6.82e+05  -1.4 1.23e+00    -  4.43e-01 7.26e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.6441933e+03 2.87e-03 2.39e+05  -2.2 3.96e-01    -  5.76e-01 2.06e-01f  1
 111  1.6838703e+03 2.68e-03 4.00e+05  -1.5 3.97e-01    -  4.45e-01 6.61e-01f  1
 112  1.6725487e+03 2.43e-03 3.79e+05  -1.7 4.06e-01    -  4.94e-01 2.29e-01f  1
 113  1.6503550e+03 1.09e-03 5.64e+04  -1.7 6.94e-02    -  4.37e-01 7.42e-01f  1
 114  1.6248020e+03 7.77e-04 2.26e+00  -1.8 9.80e-02    -  1.00e+00 1.00e+00f  1
